Date,Open,High,Low,Close,Volume
06/05/2020,170.11,174.19,167.0,173.88,"8,232,167"
06/04/2020,175.0,175.43,170.0,171.44,"7,301,551"
06/03/2020,174.83,175.93,172.84,174.99,"6,004,048"
06/02/2020,174.85,174.9,171.22,174.23,"8,571,769"
06/01/2020,173.1,177.52,172.68,176.36,"5,719,312"
05/29/2020,174.3,175.0,170.69,174.79,"19,645,391"
05/28/2020,180.0,184.8,177.1,181.1,"10,363,610"
05/27/2020,176.29,176.61,171.37,176.6,"6,340,206"
05/26/2020,182.0,182.0,176.22,176.52,"8,353,577"
05/22/2020,176.6,178.64,175.45,177.85,"4,965,119"
05/21/2020,176.93,178.29,174.93,175.26,"4,429,652"
05/20/2020,178.57,179.14,174.9,176.93,"4,951,152"
05/19/2020,172.75,178.2,172.75,176.04,"5,264,042"
05/18/2020,174.0,177.0,172.13,172.5,"6,399,484"
05/15/2020,167.27,171.72,166.18,171.33,"5,673,821"
05/14/2020,168.44,168.57,164.57,167.0,"7,442,262"
05/13/2020,175.17,175.21,166.27,169.64,"12,534,950"
05/12/2020,183.0,183.02,177.01,177.54,"5,904,630"
05/11/2020,175.56,183.3,174.16,182.67,"8,695,960"
05/08/2020,172.95,176.08,171.15,175.9,"5,405,882"
05/07/2020,166.5,171.27,166.02,169.9,"6,461,957"
05/06/2020,164.44,165.71,162.92,163.67,"4,112,567"
05/05/2020,162.53,164.14,160.25,163.25,"5,264,761"
05/04/2020,155.58,162.02,155.08,161.47,"5,974,158"
05/01/2020,158.49,160.17,155.26,156.37,"4,277,134"
04/30/2020,161.63,165.3,160.01,161.95,"6,830,654"
04/29/2020,157.88,161.89,156.52,160.43,"5,256,730"
04/28/2020,159.5,160.81,154.18,154.46,"4,731,803"
04/27/2020,155.54,158.44,154.2,157.63,"5,036,448"
04/24/2020,153.59,154.5,151.3,153.98,"6,712,013"
04/23/2020,153.5,156.47,151.5,151.72,"6,281,430"
04/22/2020,154.0,155.7,150.67,154.14,"6,665,468"
04/21/2020,160.0,160.09,148.0,150.56,"13,737,880"
04/20/2020,160.75,164.31,160.52,162.76,"4,685,993"
04/17/2020,160.0,163.26,157.63,162.62,"7,312,872"
04/16/2020,157.0,158.0,154.25,157.06,"4,391,510"
04/15/2020,155.08,157.27,154.0,155.63,"4,042,624"
04/14/2020,155.71,158.79,155.15,157.71,"7,334,310"
04/13/2020,154.12,155.31,150.0,152.5,"5,138,591"
04/09/2020,152.39,156.1,151.68,154.55,"7,094,576"
04/08/2020,146.3,152.16,145.0,151.12,"7,665,521"
04/07/2020,150.33,150.8,144.51,145.07,"7,859,451"
04/06/2020,139.0,149.85,138.3,147.55,"12,272,400"
04/03/2020,134.45,136.19,131.66,134.31,"6,004,409"
04/02/2020,134.01,135.39,130.04,134.32,"8,150,532"
04/01/2020,138.32,139.06,133.1,134.06,"8,737,615"
03/31/2020,149.03,151.95,142.78,143.98,"10,431,480"
03/30/2020,147.72,153.0,146.56,149.85,"7,650,429"
03/27/2020,150.63,151.45,144.91,146.0,"8,273,549"
03/26/2020,148.3,155.08,147.73,154.73,"8,578,887"
03/25/2020,152.67,158.02,146.96,147.06,"10,639,270"
03/24/2020,144.63,154.14,143.18,153.64,"11,834,350"
03/23/2020,138.76,143.72,134.09,140.52,"11,898,210"
03/20/2020,140.42,146.2,134.6,139.35,"12,450,120"
03/19/2020,131.59,144.0,128.86,139.46,"10,444,040"
03/18/2020,125.54,133.42,115.29,132.24,"12,988,160"
03/17/2020,127.0,138.01,122.92,135.42,"12,191,540"
03/16/2020,134.01,141.55,123.39,124.3,"13,845,250"
03/13/2020,149.47,149.5,135.32,147.78,"13,765,420"
03/12/2020,144.34,151.23,140.1,140.59,"13,212,960"
03/11/2020,157.68,159.62,150.15,154.57,"10,345,330"
03/10/2020,157.23,161.47,151.0,161.34,"11,443,930"
03/09/2020,151.7,157.71,150.64,151.21,"9,657,064"
03/06/2020,165.67,167.57,158.54,164.08,"9,757,735"
03/05/2020,172.57,173.75,168.1,169.6,"5,797,479"
03/04/2020,172.25,175.81,169.63,175.69,"5,846,719"
03/03/2020,178.41,178.42,167.09,169.37,"8,323,455"
03/02/2020,172.2,176.79,168.59,176.76,"7,761,040"
02/28/2020,164.99,171.77,163.12,170.4,"12,643,590"
02/27/2020,172.21,178.33,170.05,172.15,"9,927,314"
02/26/2020,176.54,182.67,174.25,178.87,"13,926,480"
02/25/2020,188.47,189.98,179.43,181.27,"11,361,120"
02/24/2020,178.79,187.15,178.79,185.94,"8,463,256"
02/21/2020,191.84,192.04,186.72,189.5,"5,244,259"
02/20/2020,194.0,195.72,189.77,193.36,"5,451,154"
02/19/2020,192.0,193.92,191.8,192.87,"3,903,153"
02/18/2020,190.95,191.5,188.92,191.09,"4,957,450"
02/14/2020,189.35,190.25,188.1,189.95,"3,599,445"
02/13/2020,188.5,191.05,188.42,188.64,"3,132,057"
02/12/2020,189.71,190.52,186.77,189.46,"4,535,367"
02/11/2020,191.48,192.6,188.65,189.11,"4,299,231"
02/10/2020,186.17,189.27,185.56,189.12,"3,873,498"
02/07/2020,186.85,188.65,185.65,185.72,"3,713,079"
02/06/2020,186.83,187.56,184.24,186.73,"4,102,926"
02/05/2020,190.4,190.55,182.86,185.49,"6,162,711"
02/04/2020,188.0,189.69,186.65,188.34,"3,983,248"
02/03/2020,183.26,185.87,181.85,185.42,"4,755,709"
01/31/2020,184.86,186.03,180.79,182.31,"4,193,259"
01/30/2020,180.9,185.94,180.54,185.67,"3,716,140"
01/29/2020,184.0,184.1,181.62,181.77,"2,789,482"
01/28/2020,181.14,183.86,180.35,182.85,"3,445,530"
01/27/2020,178.77,181.73,177.3,180.71,"4,239,357"
